,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
168,bing,True,FGSM,resnet,20/80,alexnet,google,20/80,0.74,0.6690141,0.95,0.785124
169,bing,True,FGSM,resnet,20/80,alexnet,google,30/70,0.815,0.8,0.84,0.8195122
170,bing,True,FGSM,resnet,20/80,alexnet,google,40/60,0.85999995,0.86,0.86,0.86
171,bing,True,FGSM,resnet,20/80,alexnet,google,50/50,0.84499997,0.93670887,0.74,0.82681566
172,bing,True,FGSM,resnet,20/80,resnet,google,20/80,0.585,0.56296295,0.76,0.64680845
173,bing,True,FGSM,resnet,20/80,resnet,google,30/70,0.61,0.6964286,0.39,0.49999994
174,bing,True,FGSM,resnet,20/80,resnet,google,40/60,0.58,0.6481481,0.35,0.45454544
175,bing,True,FGSM,resnet,20/80,resnet,google,50/50,0.59,0.6730769,0.35,0.46052635
176,bing,True,FGSM,resnet,20/80,vgg,google,20/80,0.73499995,0.67407405,0.91,0.7744681
177,bing,True,FGSM,resnet,20/80,vgg,google,30/70,0.76,0.75,0.78,0.7647059
178,bing,True,FGSM,resnet,20/80,vgg,google,40/60,0.7,0.7941176,0.54,0.64285713
179,bing,True,FGSM,resnet,20/80,vgg,google,50/50,0.685,0.877551,0.43,0.5771812
180,bing,True,FGSM,resnet,30/70,alexnet,bing,20/80,0.77,0.70454544,0.93,0.80172414
181,bing,True,FGSM,resnet,30/70,alexnet,bing,30/70,0.79999995,0.8,0.8,0.8000001
182,bing,True,FGSM,resnet,30/70,alexnet,bing,40/60,0.815,0.84615386,0.77,0.8062827
183,bing,True,FGSM,resnet,30/70,alexnet,bing,50/50,0.78999996,0.7735849,0.82,0.79611653
184,bing,True,FGSM,resnet,30/70,resnet,bing,20/80,0.565,0.54037267,0.87,0.6666666
185,bing,True,FGSM,resnet,30/70,resnet,bing,30/70,0.505,0.50442475,0.57,0.53521127
186,bing,True,FGSM,resnet,30/70,resnet,bing,40/60,0.49499997,0.49367088,0.39,0.43575418
187,bing,True,FGSM,resnet,30/70,resnet,bing,50/50,0.545,0.5473684,0.52,0.5333333
188,bing,True,FGSM,resnet,30/70,vgg,bing,20/80,0.685,0.64341086,0.83,0.7248909
189,bing,True,FGSM,resnet,30/70,vgg,bing,30/70,0.66999996,0.64166665,0.77,0.7
190,bing,True,FGSM,resnet,30/70,vgg,bing,40/60,0.69,0.7111111,0.64,0.6736842
191,bing,True,FGSM,resnet,30/70,vgg,bing,50/50,0.7,0.73255813,0.63,0.67741936
192,bing,True,FGSM,resnet,30/70,alexnet,ddg,20/80,0.69,0.6217949,0.97,0.7578125
193,bing,True,FGSM,resnet,30/70,alexnet,ddg,30/70,0.81,0.7818182,0.86,0.81904763
194,bing,True,FGSM,resnet,30/70,alexnet,ddg,40/60,0.78499997,0.8064516,0.75,0.7772021
195,bing,True,FGSM,resnet,30/70,alexnet,ddg,50/50,0.765,0.84415585,0.65,0.7344632
196,bing,True,FGSM,resnet,30/70,resnet,ddg,20/80,0.53999996,0.53333336,0.64,0.58181816
197,bing,True,FGSM,resnet,30/70,resnet,ddg,30/70,0.56,0.5882353,0.4,0.47619048
198,bing,True,FGSM,resnet,30/70,resnet,ddg,40/60,0.545,0.62857145,0.22,0.32592592
199,bing,True,FGSM,resnet,30/70,resnet,ddg,50/50,0.565,0.60655737,0.37,0.45962733
200,bing,True,FGSM,resnet,30/70,vgg,ddg,20/80,0.675,0.6296296,0.85,0.7234042
201,bing,True,FGSM,resnet,30/70,vgg,ddg,30/70,0.68,0.6636364,0.73,0.69523805
202,bing,True,FGSM,resnet,30/70,vgg,ddg,40/60,0.645,0.71014494,0.49,0.5798816
203,bing,True,FGSM,resnet,30/70,vgg,ddg,50/50,0.66499996,0.73239434,0.52,0.6081871
204,bing,True,FGSM,resnet,30/70,alexnet,google,20/80,0.71999997,0.6594203,0.91,0.7647059
205,bing,True,FGSM,resnet,30/70,alexnet,google,30/70,0.81,0.8039216,0.82,0.8118812
206,bing,True,FGSM,resnet,30/70,alexnet,google,40/60,0.84,0.86170214,0.81,0.83505154
207,bing,True,FGSM,resnet,30/70,alexnet,google,50/50,0.84999996,0.9268293,0.76,0.8351648
208,bing,True,FGSM,resnet,30/70,resnet,google,20/80,0.565,0.5503876,0.71,0.6200873
209,bing,True,FGSM,resnet,30/70,resnet,google,30/70,0.56,0.61538464,0.32,0.42105263
210,bing,True,FGSM,resnet,30/70,resnet,google,40/60,0.53,0.5576923,0.29,0.38157895
211,bing,True,FGSM,resnet,30/70,resnet,google,50/50,0.525,0.5471698,0.29,0.37908494
212,bing,True,FGSM,resnet,30/70,vgg,google,20/80,0.685,0.6504065,0.8,0.71748877
213,bing,True,FGSM,resnet,30/70,vgg,google,30/70,0.685,0.6831683,0.69,0.6865672
214,bing,True,FGSM,resnet,30/70,vgg,google,40/60,0.655,0.75409836,0.46,0.5714286
215,bing,True,FGSM,resnet,30/70,vgg,google,50/50,0.65999997,0.84782606,0.39,0.5342465
216,bing,True,FGSM,resnet,40/60,alexnet,bing,20/80,0.78,0.7089552,0.95,0.8119658
217,bing,True,FGSM,resnet,40/60,alexnet,bing,30/70,0.775,0.7777778,0.77,0.77386934
218,bing,True,FGSM,resnet,40/60,alexnet,bing,40/60,0.805,0.814433,0.79,0.80203044
219,bing,True,FGSM,resnet,40/60,alexnet,bing,50/50,0.78,0.75454545,0.83,0.79047626
220,bing,True,FGSM,resnet,40/60,resnet,bing,20/80,0.53499997,0.5214724,0.85,0.6463879
221,bing,True,FGSM,resnet,40/60,resnet,bing,30/70,0.53499997,0.52991456,0.62,0.5714286
222,bing,True,FGSM,resnet,40/60,resnet,bing,40/60,0.45499998,0.44705883,0.38,0.41081083
223,bing,True,FGSM,resnet,40/60,resnet,bing,50/50,0.565,0.56435645,0.57,0.5671641
224,bing,True,FGSM,resnet,40/60,vgg,bing,20/80,0.695,0.648855,0.85,0.73593074
225,bing,True,FGSM,resnet,40/60,vgg,bing,30/70,0.68,0.647541,0.79,0.7117117
226,bing,True,FGSM,resnet,40/60,vgg,bing,40/60,0.705,0.72043014,0.67,0.6943005
227,bing,True,FGSM,resnet,40/60,vgg,bing,50/50,0.69,0.71590906,0.63,0.67021275
