,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
218,bing,True,FGSM,alexnet,20/80,alexnet,bing,40/60,0.49499997,0.0,0.0,nan
219,bing,True,FGSM,alexnet,20/80,alexnet,bing,50/50,0.515,0.54545456,0.18,0.2706767
220,bing,True,FGSM,alexnet,20/80,resnet,bing,20/80,0.5,0.5,1.0,0.6666667
221,bing,True,FGSM,alexnet,20/80,resnet,bing,30/70,0.53999996,0.525,0.84,0.64615375
222,bing,True,FGSM,alexnet,20/80,resnet,bing,40/60,0.545,0.5283019,0.84,0.6486486
223,bing,True,FGSM,alexnet,20/80,resnet,bing,50/50,0.58,0.6818182,0.3,0.4166667
224,bing,True,FGSM,alexnet,20/80,vgg,bing,20/80,0.52,0.5102041,1.0,0.6756757
225,bing,True,FGSM,alexnet,20/80,vgg,bing,30/70,0.555,0.5294118,0.99,0.6898955
226,bing,True,FGSM,alexnet,20/80,vgg,bing,40/60,0.555,0.537931,0.78,0.6367347
227,bing,True,FGSM,alexnet,20/80,vgg,bing,50/50,0.505,0.52,0.13,0.208
228,bing,True,FGSM,alexnet,20/80,alexnet,ddg,20/80,0.5,0.5,1.0,0.6666667
229,bing,True,FGSM,alexnet,20/80,alexnet,ddg,30/70,0.5,0.5,0.23,0.31506848
230,bing,True,FGSM,alexnet,20/80,alexnet,ddg,40/60,0.515,0.50955415,0.8,0.62256813
231,bing,True,FGSM,alexnet,20/80,alexnet,ddg,50/50,0.5,nan,0.0,nan
232,bing,True,FGSM,alexnet,20/80,resnet,ddg,20/80,0.545,0.55172414,0.48,0.51336896
233,bing,True,FGSM,alexnet,20/80,resnet,ddg,30/70,0.53999996,1.0,0.08,0.14814813
234,bing,True,FGSM,alexnet,20/80,resnet,ddg,40/60,0.5,nan,0.0,nan
235,bing,True,FGSM,alexnet,20/80,resnet,ddg,50/50,0.53499997,1.0,0.07,0.13084112
236,bing,True,FGSM,alexnet,20/80,vgg,ddg,20/80,0.525,0.5135135,0.95,0.6666666
237,bing,True,FGSM,alexnet,20/80,vgg,ddg,30/70,0.555,0.53956836,0.75,0.62761503
238,bing,True,FGSM,alexnet,20/80,vgg,ddg,40/60,0.5,nan,0.0,nan
239,bing,True,FGSM,alexnet,20/80,vgg,ddg,50/50,0.5,nan,0.0,nan
240,bing,True,FGSM,alexnet,20/80,alexnet,google,20/80,0.48,0.4090909,0.09,0.14754099
241,bing,True,FGSM,alexnet,20/80,alexnet,google,30/70,0.505,0.6666667,0.02,0.03883495
242,bing,True,FGSM,alexnet,20/80,alexnet,google,40/60,0.45999998,0.36666667,0.11,0.16923076
243,bing,True,FGSM,alexnet,20/80,alexnet,google,50/50,0.505,0.51724136,0.15,0.23255815
244,bing,True,FGSM,alexnet,20/80,resnet,google,20/80,0.465,0.48087433,0.88,0.6219081
245,bing,True,FGSM,alexnet,20/80,resnet,google,30/70,0.525,0.85714287,0.06,0.11214953
246,bing,True,FGSM,alexnet,20/80,resnet,google,40/60,0.525,0.72727275,0.08,0.14414415
247,bing,True,FGSM,alexnet,20/80,resnet,google,50/50,0.52,1.0,0.04,0.07692308
248,bing,True,FGSM,alexnet,20/80,vgg,google,20/80,0.57,0.56363636,0.62,0.59047616
249,bing,True,FGSM,alexnet,20/80,vgg,google,30/70,0.57,0.58536583,0.48,0.5274725
250,bing,True,FGSM,alexnet,20/80,vgg,google,40/60,0.51,0.6666667,0.04,0.0754717
251,bing,True,FGSM,alexnet,20/80,vgg,google,50/50,0.5,nan,0.0,nan
252,bing,True,FGSM,alexnet,50/50,alexnet,bing,20/80,0.48999998,0.49107143,0.55,0.51886797
253,bing,True,FGSM,alexnet,50/50,alexnet,bing,30/70,0.42,0.32608697,0.15,0.20547946
254,bing,True,FGSM,alexnet,50/50,alexnet,bing,40/60,0.5,nan,0.0,nan
255,bing,True,FGSM,alexnet,50/50,alexnet,bing,50/50,0.49499997,0.4857143,0.17,0.25185186
256,bing,True,FGSM,alexnet,50/50,resnet,bing,20/80,0.5,0.5,1.0,0.6666667
257,bing,True,FGSM,alexnet,50/50,resnet,bing,30/70,0.585,0.5555556,0.85,0.6719368
258,bing,True,FGSM,alexnet,50/50,resnet,bing,40/60,0.565,0.54037267,0.87,0.6666666
259,bing,True,FGSM,alexnet,50/50,resnet,bing,50/50,0.63,0.825,0.33,0.47142857
