,dataset,isMath,attack,advModel,advBalancing,model,modelDataset,balancing,acc,precision,recall,f1
171,bing,False,GaussianNoise,,,alexnet,google,50/50,0.93050003,0.95268136,0.906,0.92875445
172,bing,False,GaussianNoise,,,resnet,google,20/80,0.9175,0.8678414,0.985,0.9227167
173,bing,False,GaussianNoise,,,resnet,google,30/70,0.9445,0.95966905,0.928,0.9435688
174,bing,False,GaussianNoise,,,resnet,google,40/60,0.9455,0.9607032,0.929,0.9445857
175,bing,False,GaussianNoise,,,resnet,google,50/50,0.9455,0.97043294,0.919,0.94401646
176,bing,False,GaussianNoise,,,vgg,google,20/80,0.91850007,0.8667835,0.989,0.9238674
177,bing,False,GaussianNoise,,,vgg,google,30/70,0.93350005,0.90250695,0.972,0.93596536
178,bing,False,GaussianNoise,,,vgg,google,40/60,0.94250005,0.93942404,0.946,0.94270056
179,bing,False,GaussianNoise,,,vgg,google,50/50,0.94600004,0.9665272,0.924,0.9447853
180,bing,False,GreyScale,,,alexnet,bing,20/80,0.86500007,0.8067227,0.96,0.8767123
181,bing,False,GreyScale,,,alexnet,bing,30/70,0.90500003,0.905,0.905,0.9049999
182,bing,False,GreyScale,,,alexnet,bing,40/60,0.906,0.9442013,0.863,0.9017764
183,bing,False,GreyScale,,,alexnet,bing,50/50,0.906,0.94323146,0.864,0.90187895
184,bing,False,GreyScale,,,resnet,bing,20/80,0.93050003,0.89387006,0.977,0.9335881
185,bing,False,GreyScale,,,resnet,bing,30/70,0.95150006,0.9328859,0.973,0.9525208
186,bing,False,GreyScale,,,resnet,bing,40/60,0.94200003,0.9585062,0.924,0.94093686
187,bing,False,GreyScale,,,resnet,bing,50/50,0.95600003,0.9444444,0.969,0.9565646
188,bing,False,GreyScale,,,vgg,bing,20/80,0.94200003,0.90699816,0.985,0.9443912
189,bing,False,GreyScale,,,vgg,bing,30/70,0.9545,0.9340974,0.978,0.9555447
190,bing,False,GreyScale,,,vgg,bing,40/60,0.96300006,0.96579474,0.96,0.96288866
191,bing,False,GreyScale,,,vgg,bing,50/50,0.961,0.9537402,0.969,0.9613095
192,bing,False,GreyScale,,,alexnet,ddg,20/80,0.89350003,0.8548242,0.948,0.8990043
193,bing,False,GreyScale,,,alexnet,ddg,30/70,0.89650005,0.8640955,0.941,0.90090954
194,bing,False,GreyScale,,,alexnet,ddg,40/60,0.91300005,0.9469697,0.875,0.9095634
195,bing,False,GreyScale,,,alexnet,ddg,50/50,0.9125,0.90401566,0.923,0.9134092
196,bing,False,GreyScale,,,resnet,ddg,20/80,0.94150007,0.92822504,0.957,0.94239295
197,bing,False,GreyScale,,,resnet,ddg,30/70,0.9595001,0.95904094,0.96,0.9595202
198,bing,False,GreyScale,,,resnet,ddg,40/60,0.9495,0.97266036,0.925,0.9482317
199,bing,False,GreyScale,,,resnet,ddg,50/50,0.957,0.94282943,0.973,0.9576771
200,bing,False,GreyScale,,,vgg,ddg,20/80,0.94850004,0.9164345,0.987,0.95040923
201,bing,False,GreyScale,,,vgg,ddg,30/70,0.96250004,0.94772506,0.979,0.9631087
202,bing,False,GreyScale,,,vgg,ddg,40/60,0.9635,0.95755184,0.97,0.96373576
203,bing,False,GreyScale,,,vgg,ddg,50/50,0.966,0.9697581,0.962,0.9658634
204,bing,False,GreyScale,,,alexnet,google,20/80,0.88250005,0.82387805,0.973,0.89225125
